Designator,Mid X,Mid Y,Rotation,Layer
C1,188.8,-63.8,0,top
C10,248.22,-81.7,180,top
C11,248.22,-90.3,180,top
C12,248.22,-99.1,180,top
C13,248.22,-107.8,180,top
C14,248.22,-116.5,180,top
C2,188.8,-73.1,0,top
C3,188.8,-81.8,0,top
C4,188.8,-90.5,0,top
C5,188.8,-99.3,0,top
C6,188.8,-107.9,0,top
C7,188.8,-116.6,0,top
C8,248.3,-67.1,180,top
C9,248.22,-73,180,top
J2,166.6,-57.35,270,top
M1,167.3,-70.5,0,top
M10,271.1,-88.1,0,top
M11,271.1,-96.4,0,top
M12,271.1,-105.2,0,top
M13,271.1,-114,0,top
M14,271.1,-123.2,0,top
M2,167.3,-79.2,0,top
M3,167.3,-87.9,0,top
M4,167.3,-96.3,0,top
M5,167.3,-105.1,0,top
M6,167.3,-113.85,0,top
M7,167.3,-122.95,0,top
M8,271.1,-70.7,0,top
M9,271.1,-79.4,0,top
R1,233.5025,-65.7,180,top
R10,212.35,-130.7,0,top
R11,218.85,-130.7,0,top
R12,225.2,-130.7,0,top
R13,231.25,-130.7,0,top
R14,237.3,-130.7,0,top
R15,243.65,-130.7,0,top
R16,249.8,-130.7,0,top
R17,256,-130.7,0,top
R18,262.55,-130.7,0,top
R19,269.1,-130.7,0,top
R2,233.4575,-55.5,180,top
R3,201.3,-58.1,270,top
R4,174.6,-130.7,0,top
R5,180.7875,-130.7,0,top
R6,187.3375,-130.7,0,top
R7,193.4875,-130.7,0,top
R8,199.7875,-130.7,0,top
R9,206,-130.7,0,top
U10,182.2,-120.625,0,top
U11,254.755,-68.575,180,top
U12,254.755,-77.283333,180,top
U13,254.755,-85.991666,180,top
U14,254.755,-94.699999,180,top
U15,254.755,-103.408332,180,top
U16,254.755,-112.116665,180,top
U17,254.755,-120.825,180,top
U2,206.645,-116.8,0,top
U3,228.7,-116.8,0,top
U4,182.2,-68.525,0,top
U5,182.2,-77.208333,0,top
U6,182.2,-85.891666,0,top
U7,182.2,-94.574999,0,top
U8,182.2,-103.258332,0,top
U9,182.2,-111.941665,0,top
