Designator,Mid X,Mid Y,Rotation,Layer
C1,188.2,-59.12,-90,top
C10,248.9,-90.58,-90,top
C11,248.9,-99,-90,top
C12,248.9,-107.7,-90,top
C13,248.9,-116.58,-90,top
C14,248.9,-121.3,-90,top
C15,188.5,-54.8,0,top
C16,248.8,-64.2,-90,top
C2,188.2,-68.5,-90,top
C3,188.2,-77.3,-90,top
C4,188.3,-85.88,-90,top
C5,188.3,-94.7,-90,top
C6,188.3,-103.5,-90,top
C7,188.4,-111.7,-90,top
C8,248.9,-73,-90,top
C9,248.9,-81.6,-90,top
R1,233.5025,-65.7,180,top
R10,212.35,-130.7,0,top
R11,218.85,-130.7,0,top
R12,225.2,-130.7,0,top
R13,231.25,-130.7,0,top
R14,237.3,-130.7,0,top
R15,243.65,-130.7,0,top
R16,249.8,-130.7,0,top
R17,256,-130.7,0,top
R18,262.55,-130.7,0,top
R19,269.1,-130.7,0,top
R2,233.4575,-55.5,180,top
R3,202.5,-53,180,top
R4,174.6,-130.7,0,top
R5,180.7875,-130.7,0,top
R6,187.3375,-130.7,0,top
R7,193.4875,-130.7,0,top
R8,199.7875,-130.7,0,top
R9,206,-130.7,0,top
U10,182.2,-120.625,90,top
U11,254.755,-68.575,-90,top
U12,254.755,-77.283333,-90,top
U13,254.755,-85.991666,-90,top
U14,254.755,-94.699999,-90,top
U15,254.755,-103.408332,-90,top
U16,254.755,-112.116665,-90,top
U17,254.755,-120.825,-90,top
U18,182.225,-59.275,90,top
U19,254.655,-59.7,-90,top
U2,206.645,-116.8,90,top
U3,228.7,-116.8,90,top
U4,182.2,-68.525,90,top
U5,182.2,-77.208333,90,top
U6,182.2,-85.891666,90,top
U7,182.2,-94.574999,90,top
U8,182.2,-103.258332,90,top
U9,182.2,-111.941665,90,top
