Designator,Mid X,Mid Y,Rotation,Layer
C1,189.85,-57.45,0,top
C10,247.5,-79.25,270,top
C11,247.5,-90.55,270,top
C12,247.5,-102.65,270,top
C13,247.5,-113.55,270,top
C14,247.5,-122.55,270,top
C2,189.2,-69.5,270,top
C3,189.1,-78.8,270,top
C4,189.15,-89.8,270,top
C5,189.25,-101.2,270,top
C6,189.25,-112.1,270,top
C7,189.2,-123.15,270,top
C8,248,-56.7,270,top
C9,247.9,-67.95,270,top
J2,185.25,-49.7,270,top
M1,168.615,-56.9,90,top
M10,270.35,-79.383332,270,top
M11,270.35,-90.912498,270,top
M12,270.35,-102.441664,270,top
M13,270.35,-113.97083,270,top
M14,270.35,-125.5,270,top
M2,168.615,-68.258333,90,top
M3,168.615,-79.616666,90,top
M4,168.615,-90.974999,90,top
M5,168.615,-102.333332,90,top
M6,168.615,-113.691665,90,top
M7,168.615,-125.05,90,top
M8,270.35,-56.325,270,top
M9,270.35,-67.854166,270,top
R1,233.5025,-65.7,180,top
R10,211.55,-130.7,0,top
R11,218.05,-130.7,0,top
R12,224.4,-130.7,0,top
R13,230.45,-130.7,0,top
R14,236.5,-130.7,0,top
R15,243.05,-130.7,0,top
R16,249.2,-130.7,0,top
R17,255.4,-130.7,0,top
R18,261.95,-130.7,0,top
R19,271.8,-149.2,270,top
R2,233.4575,-55.66,180,top
R3,202.8,-57.05,270,top
R4,167.55,-149.35,270,top
R5,179.8,-130.7,0,top
R6,186.35,-130.7,0,top
R7,192.5,-130.7,0,top
R8,198.8,-130.7,0,top
R9,205.2,-130.7,0,top
U10,182.375,-123.225,0,top
U11,255.925,-56.775,0,top
U12,255.925,-68.125,0,top
U13,255.925,-79.55,0,top
U14,255.925,-90.925,0,top
U15,255.925,-102.775,0,top
U16,255.925,-113.675,0,top
U17,255.925,-122.875,0,top
U2,206.645,-117.4,0,top
U3,228.7,-117.4,0,top
U4,182.375,-59.825,0,top
U5,182.4,-69.2,0,top
U6,182.375,-78.825,0,top
U7,182.375,-89.925,0,top
U8,182.375,-101.025,0,top
U9,182.375,-112.125,0,top
